command_id,command_name,parser_address,tick_address
1,QUAD_ALIGN,0x00000000,0x1C0F10
2,IF,0x1B1750,0x1B9E30
3,ELSEIF,0x1B16B0,0x1B9D80
4,ELSE,0x1B1630,0x1B9D80
5,ENDIF,0x1B15A0,0x1B9D60
6,NODE_ACTIVE,0x1B1450,0x1B9B60
7,NODE_RENDERED,0x1B1390,0x1B9B10
8,RANGE_TEST,0x1B0E30,0x1B97E0
9,RANDOM_WEIGHT,0x1B0CC0,0x1B9640
10,FAIL,0x1B0C60,0x1B9630
11,ANIM_HEALTH,0x1B0940,0x1B9750
12,ANIM_LOD,0x1B03C0,0x1B96A0
13,LOOP,0x1B2640,0x1BA660
14,WAIT,0x1B1FA0,0x1BA4D0
15,OBJECT_BLENDMODE,0x1B42F0,0x1BE470
16,OBJECT_ACTIVE_STATE,0x1B41B0,0x1BE3F0
17,OBJECT_TRANSLATE_STATE,0x1B3F50,0x1BE200
18,OBJECT_ROTATE_STATE,0x1B3D40,0x1BE0D0
19,OBJECT_MOTION,0x1AD510,0x1BC250
20,OBJECT_MOTION_FROM_TO,0x1B2900,0x1BB1E0
21,OBJECT_OPACITY_FROM_TO,0x1B2790,0x1BB0D0
22,OBJECT_OPACITY_FROM_TO,0x1B2790,0x1BB0D0
23,OBJECT_MOTION_SI_SCRIPT,0x1ACA30,0x1BA940
24,PARTICLE_SOURCE,0x1B6CF0,0x1BFDE0
25,CAMERA,0x1B5B60,0x1BF540
26,DESTRUCTION_SOURCE,0x1B8610,0x1C0E20
27,SOUND,0x1B56A0,0x1BF060
28,LIGHT,0x1B4580,0x1BE6A0
29,WHILE,0x1B1980,0x1B9CF0
30,END_WHILE,0x1B1870,0x1B9CC0
31,EXPRESSION,0x00000000,0x00000000
32,BREAK,0x1B1800,0x1B9BF0
33,CALL_ANIMATION,0x1B0060,0x1B9220
34,STOP_ANIMATION,0x1AFF40,0x1B9190
35,PAUSE_ANIMATION,0x1AFE40,0x1B90E0
36,RESUME_ANIMATION,0x1AFD20,0x1B9050
37,INVALIDATE_ANIMATION,0x1AFC00,0x1B8FD0
38,CALL_SEQUENCE,0x1AFAF0,0x1B8F90
39,STOP_SEQUENCE,0x1AF9E0,0x1B8F50
40,DEBUG,0x1ABC30,0x1B8B40
41,OBJECT_ADD_CHILD,0x1AC8C0,0x1BA7C0
42,OBJECT_DELETE_CHILD,0x1AC770,0x1BA740
43,OBJECT_ADD_CHILD,0x1AC8C0,0x1BA7C0
44,OBJECT_DELETE_CHILD,0x1AC770,0x1BA740
45,MESSAGE,0x1AB6F0,0x1C0C60
46,TIMER,0x1AB8D0,0x1C0D00
47,FIRE_WEAPON,0x1AB280,0x1B8B80
48,REMOVE_SATCHELS,0x1AB1B0,0x1B8B50
49,ui::UI_COMMAND,0x1D0D20,0x1D09B0
50,ui::UI_APP_COMMAND,0x1D0BA0,0x1D09A0
51,DYNAMICS_RELEASE_CAMERA,0x1E8950,0x1E8890
52,DYNAMICS_ACQUIRE_CAMERA,0x1E88D0,0x1E8890
53,CAMERA_INDOORS,0x1E8820,0x1E8810
54,SET_CAMERA_REGION_TEST,0x1E8740,0x1E8710
55,GET_CAMERA_REGION_TEST,0x1E86A0,0x1E8690
56,CAMERA_PARAMS,0x1E7720,0x1E6990
57,START_IMAGE_RECORDER,0x1FC810,0x1FC800
58,STOP_IMAGE_RECORDER,0x1FC790,0x1FC780
59,HUD_ON,0x1FC6F0,0x1FC600
60,HUD_OFF,0x1FC670,0x1FC600
61,HUD_LETTERBOX_ON,0x1FC570,0x1FC480
62,HUD_LETTERBOX_OFF,0x1FC4F0,0x1FC480
63,HUD_TRIGGER_MISSION_CAM,0x1FC310,0x1FC260
64,HUD_START_DEFUSE_TIMER,0x1FC0B0,0x1FC080
65,HUD_STOP_DEFUSE_TIMER,0x1FC010,0x1FBFF0
66,HUD_TRIGGER_POPUP,0x1FBE80,0x1FBE50
67,PLAYER_INDOORS,0x200330,0x200300
68,PLAYER_CONTROLS,0x200230,0x2001C0
69,IS_PLAYER_NODE,0x2000D0,0x200030
70,ai::ACTION,,
71,ai::COMM,,
72,ai::DEBUG,,
73,ai::DOOR,,
74,ai::EVENT,,
75,ai::FIREMODE,,
76,ai::FIREWEAPON,,
77,ai::GOTO,,
78,ai::HOLD,,
79,ai::INSTATE,,
80,ai::INVIEW,,
81,ai::LOOKAT,,
82,ai::MACRO,,
83,ai::MAP,,
84,ai::MOVE,,
85,ai::PAINT,,
86,ai::PARAM,,
87,ai::PURSUE,,
88,ai::ANIMATE,,
89,ai::INRANGE,,
90,ai::INREGION,,
91,ai::SELECT,,
92,ai::SETMODE,,
93,ai::SETANIMSET,,
94,ai::SIGNAL,,
95,ai::SOUND,,
96,ai::STANCE,,
97,ai::STATE,,
98,ai::STOPALL,,
99,ai::SPECIAL,,
100,ai::TEAM,,
101,ai::VALVE,,
102,ai::WAIT,,
