symbol,start,end,size,confidence,incoming_direct_calls,outgoing_direct_calls,callees,strings,note
ui_vector_empty,0x001D4930,0x001D4940,16,high,10,0,,,Returns (header->count == 0); count is +0x04.
ui_vector_pop_count,0x001D4940,0x001D4950,16,high,4,0,,,Decrements 32-bit count at +0x04.
ui_vector_back,0x001D4950,0x001D4970,32,high,7,0,,,Returns data(+0x08) + count*4 - 4.
ui_vector_push_one,0x001D4970,0x001D4990,32,medium,30,0,,,Thin wrapper over generic insertion helper; inserts one 32-bit element.
ui_vector_back_const,0x001D4990,0x001D49B0,32,high,4,0,,,Const-equivalent back() helper.
ui_SwitchMenu,0x001D5DB0,0x001D6150,928,high,0,29,0x001CB780;0x00429628;0x001CEAE0;0x00429628;0x001D4930;0x001D6150;0x001D4990;0x00429770;0x001D4930;0x001D4950;0x001D4940;0x001D4970;0x00429770;0x00304FE0;0x001D4930;0x001D4930;0x001D4950;0x00429290;0x001D4930;0x001D6150;0x001D4990;0x00429770;0x001D4930;0x001D4950;0x001D4940;0x001D4970;0x00429770;0x00428FE0;0x00429770,INPUT_STRING | PREVIOUS_SCREEN,Original menu transition handler; manipulates 0x004B3450 records and two stack-like containers.
ui_vector_empty_alt,0x001D6150,0x001D6160,16,high,2,0,,,Second template-equivalent empty() helper.
ui_SetMission,0x001D61A0,0x001D62A0,256,high,0,8,0x001CB780;0x00429628;0x001CEAE0;0x00395010;0x003BC630;0x00429770;0x001FAE10;0x00395000,INPUT_STRING,Resolves command argument and calls CMission::LoadMissionDescriptor at 0x001FAE10.
mission_set_result_state,0x001F8580,0x001F8900,896,high,6,18,0x00209F70;0x00429CE0;0x0020F9D0;0x001F92A0;0x0030DEB0;0x0030DEB0;0x0030DEB0;0x0030D7E0;0x00208DC0;0x001F92A0;0x0020F860;0x00200010;0x001F92A0;0x0031EC80;0x00404960;0x001EB980;0x0020F860;0x001F6270,dlgNetAbort.rdr | mp_score00 | mp_score08 | mp_winner,Transitions terminal mission state; state values 2/3/4/5 map to complete/failure/abort/timeout.
mission_update_objectives,0x001F8900,0x001F8EB0,1456,high,26,35,0x003E0170;0x0020E5F0;0x002526C0;0x001FD480;0x001F8EA0;0x001F8E90;0x001FD580;0x002527D0;0x002527D0;0x002526C0;0x001FD480;0x0020E5F0;0x00172D60;0x00172D50;0x00172D60;0x00172D20;0x0020E5F0;0x0020E5F0;0x001F8EA0;0x001F8E90;0x001FD580;0x002527D0;0x0020E5F0;0x001F8EA0;0x001F8E90;0x001FD580;0x002527D0;0x0020E340;0x002526C0;0x001F8E90;0x001F8E90;0x001F8E90;0x001F8E90;0x001F8E90;0x001F8E80,SECONDARY OBJ | PRIMARY OBJ | PRIMARY OBJ | SECONDARY OBJ,Periodic objective maintenance; references PRIMARY OBJ and SECONDARY OBJ.
mission_frame,0x001F8EB0,0x001F9210,864,high,1,23,0x00200010;0x0028F120;0x0028F120;0x0028F120;0x0028F120;0x001F58B0;0x0016CAD0;0x0030D7E0;0x00208DC0;0x001F8580;0x001F92A0;0x0020F860;0x001F8900;0x001F8580;0x001F8580;0x001F8580;0x001F8580;0x001F8580;0x001FEF40;0x001F4490;0x00200010;0x00250C90;0x00250E30,,Actual per-frame CMission routine.
mission_runtime_cleanup,0x001F92A0,0x001F94A0,512,high,6,23,0x001C5210;0x001C71A0;0x001C5210;0x001C71A0;0x00306330;0x00305070;0x00307F90;0x00200010;0x0028F8E0;0x0021D2C0;0x00200010;0x00279BC0;0x00335570;0x00251550;0x003354A0;0x0017B190;0x0017B180;0x0017B190;0x0017B170;0x0017B190;0x0017B170;0x001C6240;0x001ECC90,common | mission,Runtime cleanup path; removes common/mission animation sets and tears down subsystems.
mission_tick_wrapper,0x001F94A0,0x001F94C0,32,high,0,1,0x001F8EB0,,Thin scheduler callback that invokes mission_frame.
mission_load_ai_params,0x001F94C0,0x001F9710,592,high,1,15,0x00241790;0x002414D0;0x002414D0;0x002414D0;0x002414D0;0x002414D0;0x002414D0;0x002414D0;0x002413E0;0x002413E0;0x002415B0;0x0028E700;0x002414D0;0x002414D0;0x002414D0,ai_params | weather_factor | respawn_time | respawn_fade | respawn_range | light_scale | light_inside | shadow_scale | active_limit | nosnooze_limit | fireteam_command | SATCHEL_TIMER | SEEFARTHER_BINOCS | SEEFARTHER_WEAPZOOM,Loads ai_params block and named mission tuning values.
mission_ai_params_defaults,0x001F9710,0x001F9780,112,high,1,0,,,Initializes the 0x30-byte tuning block later populated by mission_load_ai_params.
