=== readerc(1).zar ===
ai_moves.rdr: lists=26 depth=3 bad_strings=0
ai_turrets.rdr: lists=44 depth=5 bad_strings=0
animset.rdr: lists=1532 depth=4 bad_strings=0
bmode.rdr: lists=7 depth=2 bad_strings=0
character.rdr: lists=8071 depth=6 bad_strings=0
cheats.rdr: lists=38 depth=3 bad_strings=0
controller.rdr: lists=230 depth=7 bad_strings=0
damanim.rdr: lists=194 depth=4 bad_strings=0
decals.rdr: lists=214 depth=4 bad_strings=0
dynamics.rdr: lists=91 depth=2 bad_strings=0
fonts.rdr: lists=2221 depth=6 bad_strings=0
global_valves.rdr: lists=360 depth=4 bad_strings=0
hud.rdr: lists=1011 depth=6 bad_strings=0
materials.rdr: lists=341 depth=3 bad_strings=0
messages.rdr: lists=18 depth=3 bad_strings=0
motion.rdr: lists=2758 depth=4 bad_strings=0
motion_range.rdr: lists=146 depth=4 bad_strings=0
mpconfig.rdr: lists=652 depth=5 bad_strings=0
non_mission.rdr: lists=7 depth=2 bad_strings=0
orders.rdr: lists=134 depth=4 bad_strings=0
small_messages.rdr: lists=18 depth=3 bad_strings=0
sndjukebox.rdr: lists=6950 depth=8 bad_strings=0
sounds.rdr: lists=35742 depth=7 bad_strings=0
splash.rdr: lists=8 depth=2 bad_strings=0
subtitles.rdr: lists=14 depth=3 bad_strings=0
UiParams.rdr: lists=2885 depth=7 bad_strings=0
zweapon.rdr: lists=4652 depth=5 bad_strings=10
validated 27 RDR leaves; bad string cells=10

=== readerc.zar ===
dlgSetSOP.rdr: lists=510 depth=9 bad_strings=0
dlgStickSetup.rdr: lists=1363 depth=11 bad_strings=0
dlgThailandCinematic.rdr: lists=36 depth=7 bad_strings=0
dlgTi11_map.rdr: lists=361 depth=9 bad_strings=0
dlgTi12_map.rdr: lists=361 depth=9 bad_strings=0
dlgTi9_map.rdr: lists=361 depth=9 bad_strings=0
dlgTk13_map.rdr: lists=361 depth=9 bad_strings=0
dlgTk15_map.rdr: lists=361 depth=9 bad_strings=0
dlgTk16_map.rdr: lists=361 depth=9 bad_strings=0
dlgTurkmenCinematic.rdr: lists=36 depth=7 bad_strings=0
dlgUsagePolicy.rdr: lists=428 depth=10 bad_strings=0
dlgWorldOfSOCOM.rdr: lists=2063 depth=10 bad_strings=0
uisounds.rdr: lists=6 depth=3 bad_strings=0
mp_rooms.rdr: lists=1412 depth=5 bad_strings=0
dlgAk8_map.rdr: lists=376 depth=9 bad_strings=0
dlgAfterErrorReboot.rdr: lists=31 depth=7 bad_strings=0
