material_id,NAME,OPACITY,PENETRATION,RICOCHET,IMPACT_RADIUS_MOD,ELASTICITY_COEFF,STEALTH_FACTOR,FOOT_STEP_OFFSET,STEPSOUND,STEALTH_STEPSOUND,CRAWLSOUND,LANDSOUND,VOLUMETRIC,LIQUID,UNDERWATER,PICKUP,WEAPONANIM,DECAL
0,ACTION,0,1,0,0.5,0.15000000596046448,,,,,,,,,,,,
1,INVISIBLE_DI,0,1,0,0.5,0.15000000596046448,,,,,,,,,,,,
2,GRASS,1,0,0,0.699999988079071,0.20000000298023224,0.699999988079071,-0.800000011920929,SND_STEP_LEAVES,SND_STEP_LEAVES_STEALTH,SND_CRAWLING_ON_GRASS,SND_STEP_LEAVES_JUMP,,,,,,
3,SAND,1,0,0,0.5,0.10000000149011612,0.4000000059604645,,SND_STEP_SAND,SND_STEP_SAND_STEALTH,SND_CRAWLING_ON_SAND,SND_STEP_SAND_JUMP,,,,,,
4,MUD,1,0,0,0.5,0.10000000149011612,0.30000001192092896,,SND_STEP_MUD,SND_STEP_MUD_STEALTH,SND_CRAWLING_ON_SAND,SND_STEP_MUD_JUMP,,,,,,
5,STONE,1,0,0.800000011920929,1.0,0.5,0.5,,SND_STEP_STONE,SND_STEP_STONE_STEALTH,SND_CRAWLING_ON_STONE,SND_STEP_STONE_JUMP,,,,,,
6,DIRT,1,0,0,0.699999988079071,0.30000001192092896,0.800000011920929,,SND_STEP_DIRT,SND_STEP_DIRT_STEALTH,SND_CRAWLING_ON_DIRT,SND_STEP_DIRT_JUMP,,,,,,
7,GLASS,0,0.9900000095367432,0,1.0,0.800000011920929,0.4000000059604645,,,,,,,,,,,
8,GLASS_THICK,0,0,0.800000011920929,1.0,0.800000011920929,0.699999988079071,,,,,,,,,,,
9,WATER,0.6000000238418579,0.6000000238418579,0,0.30000001192092896,0.25,0.0,,SND_STEP_WATER,SND_STEP_WATER_STEALTH,SND_STEP_WATER_STEALTH,SND_STEP_WATER_JUMP,,True,,,,
10,UNDERWATER,1,0,0,1.0,0.30000001192092896,0.30000001192092896,,SND_STEP_WATER,SND_STEP_WATER_STEALTH,SND_STEP_WATER_STEALTH,SND_STEP_WATER_JUMP,,,True,,,
11,PERSON,1,0.9800000190734863,0,0.0,0.30000001192092896,,,,,,,,,,,,
12,SNOW,1,0,0,0.5,0.15000000596046448,0.6000000238418579,-0.800000011920929,SND_STEP_SNOW,SND_STEP_SNOW_STEALTH,SND_CRAWLING_ON_SNOW,SND_STEP_SNOW_JUMP,,,,,,
13,WOOD_THICK,1,0,0,1.0,0.30000001192092896,0.30000001192092896,,SND_STEP_WOOD,SND_STEP_WOOD_STEALTH,SND_CRAWLING_ON_WOOD,SND_STEP_WOOD_JUMP,,,,,,
14,WOOD_THIN,1,0.25,0,1.0,0.30000001192092896,0.30000001192092896,,SND_STEP_WOOD,SND_STEP_WOOD_STEALTH,SND_CRAWLING_ON_WOOD,SND_STEP_WOOD_JUMP,,,,,,
15,RUBBER,1,0.800000011920929,0,0.5,0.6000000238418579,0.8999999761581421,,,,,,,,,,,
16,ASPHALT,1,0,0.6499999761581421,1.0,0.44999998807907104,0.5,,SND_STEP_STONE,SND_STEP_STONE_STEALTH,SND_CRAWLING_ON_STONE,SND_STEP_STONE_JUMP,,,,,,
17,LEAFY_TREE,0.800000011920929,0.800000011920929,0,1.0,0.20000000298023224,,,,,,,True,,,,,
18,SNOWY_TREE,0.8999999761581421,0.699999988079071,0,1.0,0.10000000149011612,,,,,,,,,,,,
19,METAL_THICK,1,0,0.8500000238418579,1.2000000476837158,0.5,0.5,,SND_STEP_METAL,SND_STEP_METAL_STEALTH,SND_CRAWLING_ON_STONE,SND_STEP_METAL_JUMP,,,,,,
20,METAL_THIN,1,0.3499999940395355,0.8500000238418579,1.2000000476837158,0.5,0.5,,SND_STEP_TIN,SND_STEP_TIN_STEALTH,SND_CRAWL_TIN,SND_STEP_TIN_JUMP,,,,,,
21,METAL_RAILING,0,0.949999988079071,0,1.2000000476837158,0.10000000149011612,,,,,,,,,,,,
22,METAL_GRATE,0.6000000238418579,0.4000000059604645,0.75,1.2000000476837158,0.5,0.0,,SND_STEP_GRATING,SND_STEP_GRATING_STEALTH,SND_CRAWLING_ON_WOOD,SND_STEP_GRATING_JUMP,,,,,,
23,FABRIC_HEAVY,1,0.8500000238418579,0,0.20000000298023224,0.25,1.0,,,,,,,,,,,
24,PIPE_STEAM,1,0.3499999940395355,0.8500000238418579,1.2000000476837158,0.5,,,,,,,,,,,,
25,GASTANK,1,0,0,1.2000000476837158,0.15000000596046448,,,,,,,,,,,,
26,ITEM,0,1.0,0,1.0,0.15000000596046448,,,,,,,,,,True,,
27,CAMO_NET,0.6000000238418579,0.8999999761581421,0,0.20000000298023224,0.25,0.800000011920929,,,,,,,,,,,
28,THATCH,0.6000000238418579,0.800000011920929,0,1.0,0.10000000149011612,0.10000000149011612,,SND_STEP_SAND,SND_STEP_SAND_STEALTH,SND_CRAWLING_ON_SAND,SND_STEP_SAND_JUMP,,,,,,
29,CHAINLINK_FENCE,0,1.0,0.10000000149011612,1.0,0.10000000149011612,0.0,,,,,,,,,,,
30,LEATHER,1,0.8999999761581421,0,0.20000000298023224,0.5,1.0,,,,,,,,,,,
31,BARREL,1,0.5,0.6499999761581421,1.2000000476837158,0.5,1.0,,,,,,,,,,,
32,PLASTER,1,0,0,1.0,0.5,1.0,,,,,,,,,,,
33,GRASS_VOL,0.05000000074505806,1.0,0.0,1.0,0.0,,,,,,,True,,,,,
34,BUSH_VOL,0.07000000029802322,1.0,0.0,1.0,0.0,,,,,,,True,,,,,
35,SNOWY_GRASS_VOL,0.10000000149011612,1.0,0.0,1.0,0.0,,,,,,,True,,,,,
