Key,Name,Description,ID,TYPE,SingleMode,BurstMode,AutoMode,AmmoCapacity,NumMags,LegAmmoLen,LegAmmo0,SoundRadius,ImpactRadius,MaxRange,EffectiveRange,MuzzleVelocity,FireWait,NumZoomModes,ZoomMode0,ZoomMode1,ZoomMode2,ModelName,IconTextureName,FireAnimName,HitAnimName,AssociatedGearName,ReloadSound,ReloadTime,ReloadAfterShot
WEP0,Model 18,MODEL 18,1,2,1,,1,17,3,1,9x19P,70.0,25.0,95.0,45.0,340.0,0.06,1,1.5,,,glock18,glock18_icon.tif,muzzle_glock,bullet_hit,NONE,SND_MODEL_18_GLOCK_RELOAD,0.0,
WEP1,Mark 23,MARK 23,2,2,1,,,12,3,1,45 ACP,70.0,5.0,125.0,50.0,270.0,0.2,1,1.5,,,a_mark23,mark23_icon.tif,muzzle_mark23,bullet_hit,NONE,SND_MARK_23_RELOAD,0.0,
WEP2,F57,F57,4,2,1,,,20,3,1,5.7 x 28mm,70.0,25.0,125.0,50.0,650.0,0.2,1,1.5,,,fiveseven,fiveSeven_icon.tif,muzzle_fiveseven,bullet_hit,NONE,SND_FN_FIVE_SEVEN_RELOAD,0.0,
WEP3,DE .50,DE .50,7,2,1,,,7,3,1,50 AE,100.0,40.0,175.0,60.0,436.0,0.3,1,1.5,,,desert_eagle,desert_eagle_icon.tif,muzzle_deserteagle,bullet_hit,NONE,SND_DESERT_EAGLE_50_AE_RELOAD,0.0,
WEP4,M9,M9,5,2,1,,,13,3,1,9x19P,60.0,25.0,95.0,45.0,390.0,0.18,1,1.5,,,baretta_m9,gun_baretta_9mm_icon.tif,muzzle_Beretta_M9,bullet_hit,NONE,SND_M9_HANDGUN_RELOAD,0.0,
WEP5,226,226,6,2,1,,,15,4,1,9x19P,60.0,25.0,95.0,45.0,340.0,0.18,1,1.5,,,sig226,p226_icon.tif,muzzle_p226,bullet_hit,NONE,SND_SIG_226_RELOAD,0.0,
WEP6,Mark 23SD,MARK 23SD,3,2,1,,,12,3,1,45 ACP,70.0,1.0,110.0,45.0,270.0,0.2,1,1.5,,,a_mark23sd,mark23sd_icon.tif,muzzle_mark23_sd,bullet_hit,NONE,SND_MARK_23_SILENCER_RELOAD,0.0,
WEP7,9mm Pistol,9MM PISTOL,8,2,1,,,9,5,1,9x19P SD,1.5,20.0,85.0,40.0,351.0,0.18,1,1.5,,,hkp9s,hkp9s_icon.tif,muzzle_H&K_P9S,bullet_hit,NONE,SND_H_K_P9S_SILENCER_RELOAD,0.0,
WEP8,Designator,DESIGNATOR,11,2,1,,,10,1,0,,0.0,40.0,1200.0,600.0,0.0,0.1,1,1.5,,,laser_designator,laser_designator_icon.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP9,MK 3-A2,MK 3-A2,83,1,1,1,1,12,3,1,9x19P,65.0,7.0,300.0,10.0,393.0,0.1,1,1.5,,,jackhammer,jackhammer_icon.tif,muzzle_shotgun2,bullet_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP10,870,870,84,1,1,,,12,3,1,12 Gauge,120.0,25.0,350.0,400.0,393.0,0.5,1,1.5,,,remington870,remington870_icon.tif,muzzle_shotgun,bullet_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP11,M16A2,M16A2,51,1,1,1,,30,3,1,5.56 x 45mm,60.0,25.0,1200.0,600.0,948.0,0.1,1,1.5,,,m16a2,m16_icon.tif,muzzle_M16A2,bullet_hit,NONE,SND_M16A2_RELOAD,0.0,
WEP12,M16A2-M203,M16A2-M203,52,1,1,1,,30,3,1,5.56 x 45mm,60.0,25.0,1200.0,600.0,991.0,0.1,1,1.5,,,m16_M203,m16a203_icon.tif,muzzle_M16A2,bullet_hit,NONE,SND_M16A2_RELOAD,0.0,
WEP13,M4A1,M4A1,54,1,1,1,1,30,3,1,5.56 x 45mm,200.0,30.0,1000.0,600.0,921.0,0.14,2,1.5,2.5,,m4Acarbine,m4carbine_icon.tif,muzzle_m4,bullet_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP14,M4A1 SD,M4A1 SD,62,1,1,1,1,30,3,1,5.56 x 45mm NATO SD,2.5,25.0,800.0,550.0,900.0,0.16,2,1.5,3.0,,m4Acarbine_sd,m4carbine_icon.tif,muzzle_m4SD,bullet_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP15,M4A1-M203,M4A1-M203,61,1,1,1,1,30,3,1,5.56 x 45mm,65.0,25.0,1000.0,600.0,921.0,0.14,1,1.5,,,m4Acarbine_203,m4carbine203_icon.tif,muzzle_m4,bullet_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP16,552,552,57,1,1,1,1,30,3,1,5.56 x 45mm,65.0,25.0,1000.0,600.0,725.0,0.15,2,1.5,3.0,,sig_commando,sigcommando_icon.tif,muzzle_sigcom,bullet_hit,NONE,SND_SIG_552_COMMANDO_RELOAD,0.0,
WEP17,AK-47,AK-47,58,1,1,1,1,30,3,1,7.62 x 39mm M1943,500.0,25.0,1000.0,600.0,710.0,0.16,1,1.5,,,ak47,ak_47_icon.tif,muzzle_ak47,bullet_hit,NONE,SND_AK47_RELOAD,0.0,
WEP18,AKS-74,AKS-74,59,1,1,1,1,30,3,1,5.45 x 39mm Soviet,500.0,25.0,1000.0,600.0,900.0,0.13,1,1.5,,,aks74,aks74_icon.tif,muzzle_aks74,bullet_hit,NONE,SND_AKS_74_RELOAD,0.0,
WEP19,M14,M14,60,1,1,,1,20,3,1,7.62 x 51mm,500.0,25.0,1200.0,600.0,858.0,0.12,1,1.5,,,m14_gun,m14_icon.tif,muzzle_M14,bullet_hit,NONE,SND_M14_RELOAD,0.0,
WEP20,M60E3,M60E3,91,1,,,1,100,2,1,7.62 x 51mm,400.0,40.0,800.0,400.0,853.0,0.14,1,1.5,,,m60e,m60e.tif,muzzle_rifle_m60,bullet_hit,NONE,SND_M60_E3_RELOAD,0.0,
WEP21,M63A,M63A,92,1,,,1,75,2,1,5.56 x 45mm,500.0,25.0,800.0,400.0,990.0,0.12,1,1.5,,,stoner_m63a,stoner_icon.tif,muzzle_rifle_stoner,bullet_hit,NONE,SND_M63A_STONER_RELOAD,0.0,
WEP22,Mark 46 Mod 0,placeholder,93,1,1,1,1,75,3,1,5.56 x 45mm,100.0,25.0,3200.0,1200.0,990.0,0.1,1,1.5,,,stoner_m63a,stoner_icon.tif,muzzle_rifle_stoner,bullet_hit,NONE,SND_MARK_43_RELOAD,0.0,
WEP23,HK5,HK5,31,1,1,1,1,30,4,1,9x19P,70.0,20.0,300.0,150.0,375.0,0.1,1,1.5,,,mp5,mp5_icon.tif,muzzle_mp5,bullet_hit,NONE,SND_MP5_RELOAD,0.0,
WEP24,HK5SD,HK5SD,33,1,1,1,1,30,3,1,9x19P SD,2.0,15.0,250.0,110.0,285.0,0.12,1,1.5,,,mp5sd,mp5sd_icon.tif,muzzle_mp5sd,bullet_hit,NONE,SND_MP5_SIL_RELOAD,0.0,
WEP25,F90,F90,34,1,1,1,1,50,3,1,5.7 x 28mm,70.0,30.0,300.0,150.0,375.0,0.09,1,1.5,,,fnp90,fnp90_icon.tif,muzzle_mp5,bullet_hit,NONE,SND_MP5_RELOAD,0.0,
WEP26,9mm Sub,9MM SUB,37,1,1,1,1,30,3,1,9x19P,70.0,25.0,150.0,100.0,375.0,0.075,1,1.5,,,uzi,uzi_icon.tif,muzzle_uzi,bullet_hit,NONE,SND_UZI_RELOAD,0.0,
WEP27,M82A1A,M82A1A,101,1,1,,,10,3,1,.50 Cal,700.0,40.0,2400.0,1800.0,843.0,2.1,3,1.5,8.0,16.0,barretm82A1,barrettm82a.tif,muzzle_Barret-M82a1,bullet_hit,NONE,SND_BARRETT_LIGHT_50_RELOAD,0.0,
WEP28,M40A1,M40A1,102,1,1,,,25,1,1,7.62 x 51mm,600.0,40.0,2000.0,1500.0,777.0,0.5,3,1.5,6.0,12.0,remington700,model700_icon.tif,muzzle_rifle_model_700,bullet_hit,NONE,SND_MODEL_700_REMINGTON_RELOAD,0.0,1
