animation_index,animation_name,symbol_count,symbols,scene_match_count,scene_matches,meaningful_scene_matches,seq_data_size
0,Hutchins_special,3,NA | Hutchins_special | seq_0,0,,,40
1,Bailey_special,3,NA | Bailey_special | seq_0,0,,,40
2,DiMone_special,3,NA | DiMone_special | seq_0,0,,,40
3,OutPatrol1_special,3,NA | OutPatrol1_special | seq_0,0,,,40
4,OutPatrol1_start,18,NA | OutPatrol1_start | startup | comerunning | on_aware0 | OutPatrol5_valve_alive | OutPatrol5_valve_aware | converse3 | converse4 | converse5 | on_aware1 | on_aware2 | Out1 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2600
5,OutPatrol2_special,3,NA | OutPatrol2_special | seq_0,0,,,40
6,OutPatrol2_start,14,NA | OutPatrol2_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | call_out | Out2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2088
7,OutPatrol3_special,3,NA | OutPatrol3_special | seq_0,0,,,40
8,OutPatrol3_start,15,NA | OutPatrol3_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | call_out | Out3 | Out3Run | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,3304
9,OutPatrol4_special,3,NA | OutPatrol4_special | seq_0,0,,,40
10,OutPatrol4_start,14,NA | OutPatrol4_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | call_out | Out4 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2648
11,OutPatrol5_special,3,NA | OutPatrol5_special | seq_0,0,,,40
12,OutPatrol5_start,18,NA | OutPatrol5_start | startup | comerunning | on_aware0 | OutPatrol1_valve_alive | OutPatrol1_valve_aware | converse3 | converse4 | converse5 | on_aware1 | on_aware2 | Out5 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2664
13,OutPatrol6_special,3,NA | OutPatrol6_special | seq_0,0,,,40
14,OutPatrol6_start,17,NA | OutPatrol6_start | startup | comerunning | on_aware0 | OutPatrol7_valve_alive | OutPatrol7_valve_aware | converse6 | converse7 | on_aware1 | on_aware2 | Out6 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2616
15,OutPatrol7_special,3,NA | OutPatrol7_special | seq_0,0,,,40
16,OutPatrol7_start,17,NA | OutPatrol7_start | startup | comerunning | on_aware0 | OutPatrol6_valve_alive | OutPatrol6_valve_aware | converse6 | converse7 | on_aware1 | on_aware2 | Out7 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2728
17,OutPatrol8_special,3,NA | OutPatrol8_special | seq_0,0,,,40
18,OutPatrol8_start,16,NA | OutPatrol8_start | startup | comerunning | on_aware0 | barrel | Snow1_valve_alive | converse1 | on_aware1 | on_aware2 | Out8 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,3528
19,Shed1_special,3,NA | Shed1_special | seq_0,0,,,40
20,Shed1_start,13,NA | Shed1_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | shed1 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2856
21,Shed2_special,3,NA | Shed2_special | seq_0,0,,,40
22,Shed2_start,16,NA | Shed2_start | startup | crapper | comerunning | on_aware0 | outhouse1 | outhack | SND_PEE | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,1,outhouse1,outhouse1,3288
23,Bunk1_special,3,NA | Bunk1_special | seq_0,0,,,40
24,Bunk1_start,19,NA | Bunk1_start | startup | comerunning | on_aware0 | Bunk2_valve_alive | Bunk2_valve_aware | talkwait | converse8 | converse9 | converse10 | on_aware1 | on_aware2 | bunk1 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2520
25,Bunk2_special,3,NA | Bunk2_special | seq_0,0,,,40
26,Bunk2_start,19,NA | Bunk2_start | startup | comerunning | on_aware0 | Bunk1_valve_alive | Bunk1_valve_aware | talkwait | converse8 | converse9 | converse10 | on_aware1 | on_aware2 | bunk2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2920
27,Snow1_special,3,NA | Snow1_special | seq_0,0,,,40
28,Snow1_start,17,NA | Snow1_start | startup | barrel | comerunning | on_aware0 | OutPatrol8_valve_alive | converse1 | on_aware1 | on_aware2 | snow1 | snow1alt | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,3256
29,Snow2_special,3,NA | Snow2_special | seq_0,0,,,40
30,Snow2_start,23,NA | Snow2_start | startup | comerunning | outhouse | outhouse2 | on_aware0 | OutPatrol9_valve_alive | converse2 | Snow3_valve_alive | Snow3_valve_aware | talkwait2 | converse11 | converse12 | converse13 | on_aware1 | on_aware2 | snow2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,1,outhouse2,outhouse2,3688
31,Snow3_special,3,NA | Snow3_special | seq_0,0,,,40
32,Snow3_start,21,NA | Snow3_start | startup | comerunning | outhouse | outhouse2 | on_aware0 | Snow2_valve_alive | Snow2_valve_aware | talkwait2 | converse11 | converse12 | converse13 | on_aware1 | on_aware2 | snow3 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,1,outhouse2,outhouse2,2856
33,Snow3_ambient,4,NA | Snow3_ambient | Helicopter | extractsync,0,,,156
34,Dredge1_special,3,NA | Dredge1_special | seq_0,0,,,40
35,Dredge1_start,12,NA | Dredge1_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,3848
36,Dredge2_special,3,NA | Dredge2_special | seq_0,0,,,40
37,Dredge2_start,16,NA | Dredge2_start | startup | comerunning | generator | generator_off | on_aware0 | SND_VOC_076 | SND_VOC_060 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,3992
38,Leader_special,3,NA | Leader_special | seq_0,0,,,40
39,Leader_start,21,NA | Leader_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | Spotted | TimerRun | SinglePlay | manual_alarm | looping_docs | react | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse | m8tut6 | run/movies/m8/ddata.pss | nodocs,0,,,3232
40,Sniper1_special,3,NA | Sniper1_special | seq_0,0,,,40
41,Sniper1_start,12,NA | Sniper1_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2824
42,Sniper2_special,3,NA | Sniper2_special | seq_0,0,,,40
43,Sniper2_start,12,NA | Sniper2_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2824
44,Dredge3_special,3,NA | Dredge3_special | seq_0,0,,,40
45,Dredge3_start,12,NA | Dredge3_start | startup | comerunning | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2952
46,Bunk3_special,3,NA | Bunk3_special | seq_0,0,,,40
47,Bunk3_start,16,NA | Bunk3_start | startup | comerunning | idling | Bunk1_valve_alive | Bunk2_valve_alive | on_aware0 | on_aware1 | on_aware2 | bunk3 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,2360
