animation_name,block_index,block_offset,block_size,command_index,command_offset_in_block,raw_opcode,command_id,command_name,opcode_high_flags,meta,record_size
Hutchins_special,0,0x0,40,0,0x1C,0x021E,30,END_WHILE,0x0200,0x0030,12
Bailey_special,0,0x0,40,0,0x1C,0x021E,30,END_WHILE,0x0200,0x0030,12
DiMone_special,0,0x0,40,0,0x1C,0x021E,30,END_WHILE,0x0200,0x0030,12
OutPatrol1_special,0,0x0,40,0,0x1C,0x021E,30,END_WHILE,0x0200,0x0030,12
OutPatrol1_start,0,0x0,136,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0080,32
OutPatrol1_start,0,0x0,136,1,0x3C,0x001C,28,LIGHT,0x0000,0x0082,32
OutPatrol1_start,0,0x0,136,2,0x5C,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol1_start,0,0x0,136,3,0x64,0x0211,17,OBJECT_TRANSLATE_STATE,0x0200,0x0050,20
OutPatrol1_start,0,0x0,136,4,0x78,0x001C,28,LIGHT,0x0000,0x0022,8
OutPatrol1_start,0,0x0,136,5,0x80,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol1_start,1,0x88,816,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol1_start,1,0x88,816,1,0x40,0x001C,28,LIGHT,0x0000,0x0022,8
OutPatrol1_start,1,0x88,816,2,0x48,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,3,0x5C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,4,0x70,0x0001,1,QUAD_ALIGN,0x0000,0x0020,8
OutPatrol1_start,1,0x88,816,5,0x78,0x0213,19,OBJECT_MOTION,0x0200,0x00A1,40
OutPatrol1_start,1,0x88,816,6,0xA0,0x020D,13,LOOP,0x0200,0x0090,36
OutPatrol1_start,1,0x88,816,7,0xC4,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,8,0xD8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,9,0xEC,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,10,0x100,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,11,0x114,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,12,0x128,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,13,0x13C,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,14,0x150,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,15,0x164,0x0002,2,IF,0x0000,0x00C2,48
OutPatrol1_start,1,0x88,816,16,0x194,0x001C,28,LIGHT,0x0000,0x00C2,48
OutPatrol1_start,1,0x88,816,17,0x1C4,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol1_start,1,0x88,816,18,0x1CC,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,19,0x1E0,0x0002,2,IF,0x0000,0x0062,24
OutPatrol1_start,1,0x88,816,20,0x1F8,0x021A,26,DESTRUCTION_SOURCE,0x0200,0x0080,32
OutPatrol1_start,1,0x88,816,21,0x218,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol1_start,1,0x88,816,22,0x228,0x0005,5,ENDIF,0x0000,0x0022,8
OutPatrol1_start,1,0x88,816,23,0x230,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,24,0x244,0x0002,2,IF,0x0000,0x0062,24
OutPatrol1_start,1,0x88,816,25,0x25C,0x021A,26,DESTRUCTION_SOURCE,0x0200,0x0080,32
OutPatrol1_start,1,0x88,816,26,0x27C,0x0005,5,ENDIF,0x0000,0x0022,8
OutPatrol1_start,1,0x88,816,27,0x284,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,28,0x298,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol1_start,1,0x88,816,29,0x2A8,0x0005,5,ENDIF,0x0000,0x0022,8
OutPatrol1_start,1,0x88,816,30,0x2B0,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,31,0x2C4,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,32,0x2D8,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,33,0x2EC,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,34,0x300,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,35,0x314,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,1,0x88,816,36,0x328,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol1_start,2,0x3B8,96,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol1_start,2,0x3B8,96,1,0x40,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol1_start,3,0x418,732,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol1_start,3,0x418,732,1,0x40,0x0002,2,IF,0x0000,0x00C2,48
OutPatrol1_start,3,0x418,732,2,0x70,0x0219,25,CAMERA,0x0200,0x0040,16
OutPatrol1_start,3,0x418,732,3,0x80,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,4,0x94,0x0208,8,RANGE_TEST,0x0200,0x0050,20
