command_id,command_name,count,observed_opcode_high_flags
1,QUAD_ALIGN,118,0x0000 | 0x0100 | 0x0200
2,IF,270,0x0000 | 0x0200
3,ELSEIF,437,0x0000 | 0x0200
4,ELSE,105,0x0000 | 0x0200
5,ENDIF,265,0x0000 | 0x0200
6,NODE_ACTIVE,8,0x0200
8,RANGE_TEST,449,0x0200
9,RANDOM_WEIGHT,378,0x0200
12,ANIM_LOD,144,0x0200
13,LOOP,175,0x0000 | 0x0200
14,WAIT,253,0x0000 | 0x0200
15,OBJECT_BLENDMODE,9,0x0200
16,OBJECT_ACTIVE_STATE,315,0x0000
17,OBJECT_TRANSLATE_STATE,53,0x0000 | 0x0200
18,OBJECT_ROTATE_STATE,86,0x0000 | 0x0200
19,OBJECT_MOTION,167,0x0000 | 0x0200
20,OBJECT_MOTION_FROM_TO,51,0x0000
21,OBJECT_OPACITY_FROM_TO,41,0x0000
22,OBJECT_OPACITY_FROM_TO,5,0x0000
23,OBJECT_MOTION_SI_SCRIPT,108,0x0000 | 0x0200
24,PARTICLE_SOURCE,151,0x0000 | 0x0200
25,CAMERA,82,0x0000 | 0x0200
26,DESTRUCTION_SOURCE,223,0x0000 | 0x0200
27,SOUND,254,0x0000 | 0x0200
28,LIGHT,299,0x0000 | 0x0200
29,WHILE,263,0x0000
30,END_WHILE,41,0x0200
32,BREAK,323,0x0000
33,CALL_ANIMATION,32,0x0000
34,STOP_ANIMATION,17,0x0000
35,PAUSE_ANIMATION,13,0x0000
36,RESUME_ANIMATION,17,0x0000
37,INVALIDATE_ANIMATION,90,0x0000
38,CALL_SEQUENCE,133,0x0000
40,DEBUG,22,0x0000
41,OBJECT_ADD_CHILD,22,0x0000
42,OBJECT_DELETE_CHILD,54,0x0000
43,OBJECT_ADD_CHILD,3,0x0000
44,OBJECT_DELETE_CHILD,5,0x0000
46,TIMER,172,0x0000
47,FIRE_WEAPON,19,0x0000
48,REMOVE_SATCHELS,18,0x0000
50,ui::UI_APP_COMMAND,12,0x0000
52,DYNAMICS_ACQUIRE_CAMERA,38,0x0000
55,GET_CAMERA_REGION_TEST,2,0x0000
59,HUD_ON,1,0x0000
62,HUD_LETTERBOX_OFF,3,0x0000
65,HUD_STOP_DEFUSE_TIMER,21,0x0000
